Entity,Code,Year,Share who spoke to friends or family,Share who said people would feel very comfortable speaking with someone they knew,Population,World region according to OWID
Nepal,NPL,2020,83.74065,31.990816,28966580,Asia
Netherlands,NLD,2020,82.921455,19.575184,17636732,Europe
New Zealand,NZL,2020,75.589424,7.616393,5069895,Oceania
Nicaragua,NIC,2020,85.740456,26.092758,6565267,North America
Nigeria,NGA,2020,81.09143,11.506056,213996185,Africa
North America,OWID_NAM,2020,80.36922,10.888448,598250669,
North Macedonia,MKD,2020,84.93578,19.263893,1872021,Europe
Norway,NOR,2020,75.18707,9.8570595,5379275,Europe
Oceania,OWID_OCE,2020,82.779366,7.2630644,44079305,
Paraguay,PRY,2020,76.89931,18.502247,6603741,South America
Peru,PER,2020,84.922966,25.913599,32838577,South America
Philippines,PHL,2020,94.9963,28.208256,112081270,Asia
Poland,POL,2020,84.898705,17.411058,38171005,Europe
Portugal,PRT,2020,78.639946,24.664425,10370519,Europe
Romania,ROU,2020,83.580925,19.265442,19392467,Europe
Russia,RUS,2020,72.52477,9.941295,146371295,Europe
Saudi Arabia,SAU,2020,68.85982,49.74626,30991206,Asia
Senegal,SEN,2020,73.58441,23.88905,16789217,Africa
Serbia,SRB,2020,,21.168327,6907814,Europe
Slovakia,SVK,2020,84.32788,24.664183,5455028,Europe
Slovenia,SVN,2020,,16.971712,2102421,Europe
South Africa,ZAF,2020,83.09552,21.583582,60562374,Africa
South America,OWID_SAM,2020,77.21828,25.215714,426213552,
South Korea,KOR,2020,58.99228,9.0005245,51858481,Asia
Spain,ESP,2020,87.31633,22.522491,47679482,Europe
Sri Lanka,LKA,2020,84.744804,28.208971,22561808,Asia
Sweden,SWE,2020,90.40839,15.146934,10353682,Europe
Switzerland,CHE,2020,75.75294,34.36771,8640582,Europe
Taiwan,TWN,2020,,9.367289,23663461,Asia
Tanzania,TZA,2020,80.421844,34.58113,60972803,Africa
Thailand,THA,2020,81.801636,31.828373,71641484,Asia
Tunisia,TUN,2020,67.43499,46.760735,11974058,Africa
Turkey,TUR,2020,74.642845,13.326519,86091691,Asia
Uganda,UGA,2020,81.37971,25.087318,44457148,Africa
Ukraine,UKR,2020,68.07142,11.792821,44680008,Europe
United Arab Emirates,ARE,2020,79.77137,39.16091,9448529,Asia
United Kingdom,GBR,2020,72.84443,8.396421,67351860,Europe
United States,USA,2020,80.09102,7.2477846,339436156,North America
Upper-middle-income countries,OWID_UMC,2020,72.22729,15.149798,2832101028,
Uruguay,URY,2020,80.10275,21.92993,3398966,South America
Uzbekistan,UZB,2020,71.34779,50.216694,33586373,Asia
Venezuela,VEN,2020,87.47985,19.484858,28444080,South America
Vietnam,VNM,2020,87.42293,28.22067,98079196,Asia
World,OWID_WRL,2020,78.01984,23.61903,7887001289,
Zambia,ZMB,2020,85.21131,31.303564,19059394,Africa
Zimbabwe,ZWE,2020,93.6826,45.67105,15526887,Africa
